utterance_id,group_id,group_size,distance_z_score,intra_group_distance
1034_121119_000001_000001,set_dd4cf1452795,1,0.0,
1034_121119_000002_000001,set_8f6247485558,3,0.0,
1034_121119_000010_000004,set_89a4ac259ae3,2,0.0,
1034_121119_000010_000006,set_f3bbad131232,1,0.0,
1034_121119_000012_000000,set_7e97ae760cf8,1,0.0,
1034_121119_000014_000000,set_8f6247485558,3,0.0,
1034_121119_000018_000000,set_e41742ad746a,1,0.0,
1034_121119_000019_000001,set_105306cc79c2,1,0.0,
1034_121119_000021_000001,set_eca7ac371616,4,0.0,
1034_121119_000022_000000,set_bc2b91b80e62,2,0.0,
1034_121119_000028_000001,set_431359461f72,4,0.0,
1034_121119_000037_000000,set_431359461f72,4,0.0,
1034_121119_000040_000001,set_431359461f72,4,0.0,
1034_121119_000044_000001,set_eca7ac371616,4,0.0,
1034_121119_000045_000000,set_577f3838c565,1,0.0,
1034_121119_000048_000001,set_b00b4c014c10,1,0.0,
1034_121119_000052_000000,set_89a4ac259ae3,2,0.0,
1034_121119_000052_000002,set_8f6247485558,3,0.0,
1034_121119_000053_000000,set_024663dcdbaa,3,0.0,
1034_121119_000061_000000,set_eca7ac371616,4,0.0,
1034_121119_000064_000001,set_f99e1bdbcf3f,1,0.0,
1034_121119_000064_000002,set_024663dcdbaa,3,0.0,
1034_121119_000064_000003,set_136cd8b1d826,1,0.0,
1034_121119_000064_000006,set_ce359e668c1e,1,0.0,
1034_121119_000064_000008,set_431359461f72,4,0.0,
1034_121119_000064_000009,set_bc2b91b80e62,2,0.0,
1034_121119_000064_000011,set_c8fb41bc6420,1,0.0,
1034_121119_000065_000003,set_eca7ac371616,4,0.0,
1034_121119_000070_000000,set_0fdad0a2714f,1,0.0,
1034_121119_000071_000000,set_024663dcdbaa,3,0.0,
103_1241_000000_000001,set_e7066aa0c419,5,0.0,0.11998677
103_1241_000004_000002,set_6cccff57b878,7,-0.7623420357704163,0.047885895
103_1241_000007_000001,set_1e84bbc69821,11,1.2930842638015747,0.23623896
103_1241_000008_000001,set_e3c43afa3b9e,5,0.5125119090080261,0.18815076
103_1241_000012_000002,set_316c9a7d0f3b,3,0.0,
103_1241_000014_000003,set_e3c43afa3b9e,5,-0.9118118286132812,0.06566256
103_1241_000017_000000,set_6cccff57b878,7,-0.7059229612350464,0.051145792
103_1241_000017_000001,set_bc5cf6fbf928,10,0.3974898159503937,0.17306054
103_1241_000020_000000,set_6cccff57b878,7,0.0,0.091934025
103_1241_000020_000001,set_63d5651cee97,7,-0.6786379218101501,0.06641269
103_1241_000020_000005,set_1e84bbc69821,11,0.0,0.12919557
103_1241_000020_000016,set_63d5651cee97,7,1.3554035425186157,0.13758147
