이름,Extra URL,Files & media,URL,구분,기타,발행일,인용 1,인용 2,인용 3
PromptTTS 2: Describing and Generating Voices with Text Prompt,,PromptTTS_2_-_Describing_and_Generating_Voices_with_Text_Prompt.pdf,https://arxiv.org/abs/2309.02285,,,2023,No,No,No
PromptTTS++: Controlling Speaker Identity in Prompt-Based Text-to-Speech Using Natural Language Descriptions,https://github.com/line/promptttspp,PromptTTS_Controlling_Speaker_Identity_in_Prompt-Based_Text-to-Speech_Using_Natural_Language_Descriptions.pdf,https://arxiv.org/abs/2309.08140,"Instruct, TTS",,2023,Yes,Yes,Yes
SoundStorm: Efficient Parallel Audio Generation,,SoundStorm_Efficient_Parallel_Audio_Generation.pdf,https://arxiv.org/abs/2305.09636,Audio,,2023,Yes,No,No
Spark-TTS: An Efficient LLM-Based Text-to-Speech Model with Single-Stream Decoupled Speech Tokens,https://github.com/SparkAudio/Spark-TTS,Spark-TTS_-_An_Efficient_LLM-Based_Text-to-Speech_Model_with_Single-Stream_Decoupled_Speech_Tokens.pdf,https://arxiv.org/abs/2503.01710,TTS,,2025,Yes,No,No
Tacotron: Towards End-to-End Speech Synthesis,,TACOTRON_TOWARDS_END-TO-END_SPEECH_SYNTHESIS.pdf,https://arxiv.org/abs/1703.10135,TTS,,2017,No,No,No
"Tacotron2: NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM
PREDICTIONS",,NATURAL_TTS_SYNTHESIS_BY_CONDITIONING_WAVENET_ON_MEL_SPECTROGRAM_(Tacotron2).pdf,https://arxiv.org/abs/1712.05884,TTS,,2018,No,No,No
Text-to-LoRA: Instant Transformer Adaption,,Text-to-LoRA_Instant_Transformer_Adaption.pdf,https://arxiv.org/abs/2506.06105,"HyperNet, Instruct, LoRA",,2025,No,Yes,Yes
WaveNet: A Generative Model for Raw Audio,,WaveNet_A_Generative_Model_for_Raw_Audio.pdf,https://arxiv.org/abs/1609.03499,Audio,,2016,No,No,No
Higgs Audio v2,,,https://www.boson.ai/blog/higgs-audio-v2,TTS,,2025,Yes,Yes,Yes
Hypernetworks,,HYPERNETWORKS.pdf,https://arxiv.org/abs/1609.09106,HyperNet,,2016,No,Yes,Yes
